engine,mode,requests,p50_ms,p95_ms,p99_ms,mean_ms,serial_qps,ann_recall,tie_aware_ann_recall,evidence_hit,evidence_page_recall,shortfall_count,load_and_index_s
sqlite,global,450,45.187104000000005,47.60210435,50.743278079999996,45.41232492,22.020453737209806,0.9973333333333334,1.0,0.29333333333333333,0.2633333333333333,0,2.857589416002156
sqlite,document-filter,450,24.0179585,28.332966449999997,29.270668419999996,24.758537046666667,40.39010859628451,1.0,1.0,0.6266666666666667,0.5833333333333334,0,2.857589416002156
duckdb-exact,global,450,38.402854,39.774043899999995,41.55636491,38.648014082222225,25.87455070453392,0.9993333333333334,1.0,0.29333333333333333,0.2633333333333333,0,2.178180415998213
duckdb-exact,document-filter,450,1.761854,1.91521715,2.16728183,1.7722871333333334,564.2426563912311,1.0,1.0,0.6266666666666667,0.5833333333333334,0,2.178180415998213
duckdb-hnsw,global,450,1.994104,2.4095579999999996,2.6798968299999997,2.0411556222222225,489.91854864613015,0.9713333333333334,0.9733333333333334,0.28,0.25,0,6.492980458977399
duckdb-hnsw,document-filter,450,1.899896,2.09566495,2.22709717,1.9130716666666665,522.7195705336009,0.14200000000000002,0.14200000000000002,0.28,0.25,450,6.492980458977399
postgres,global,450,2.3352500000000003,3.769456099999999,4.766054419999998,2.4575789577777782,406.9045256247767,0.9580000000000001,0.96,0.2866666666666667,0.25666666666666665,0,28.09170308301691
postgres,document-filter,450,0.48622849999999995,1.0601185999999905,1.8415490899999998,0.5478633311111111,1825.2727335701027,1.0,1.0,0.6266666666666667,0.5833333333333334,0,28.09170308301691
clickhouse,global,450,4.9951035,6.714552199999997,8.08754067,5.1169789622222215,195.42781148463354,0.9480000000000001,0.9506666666666667,0.3,0.27,0,32.32574775000103
clickhouse,document-filter,450,4.75525,6.4201878,7.86974651,4.828632804444445,207.09795929803659,0.1426666666666667,0.1426666666666667,0.3,0.27,450,32.32574775000103
qdrant,global,450,3.2020419999999996,5.571051749999993,6.943452259999993,3.4546368733333335,289.46602397464517,0.9580000000000001,0.96,0.2866666666666667,0.25666666666666665,0,17.592132833990036
qdrant,document-filter,450,2.317875,4.1469188999999975,5.924486419999996,2.4774539822222224,403.6401915740214,1.0,1.0,0.6266666666666667,0.5833333333333334,0,17.592132833990036
weaviate,global,450,1.468542,2.3315461999999987,2.8888882499999995,1.51076962,661.9142897512064,0.9486666666666667,0.9493333333333335,0.29333333333333333,0.2633333333333333,0,19.142849249998108
weaviate,document-filter,450,0.5865835,0.7771748499999994,1.643843919999999,0.6234579444444444,1603.9574263362504,1.0,1.0,0.6266666666666667,0.5833333333333334,0,19.142849249998108
duckdb-hnsw-prefilter,global,450,1.9387919999999998,2.3174606,2.573695,1.97867434,505.3888756651082,0.9673333333333335,0.9693333333333334,0.28,0.25,0,6.308128542004852
duckdb-hnsw-prefilter,document-filter,450,1.6747085,1.9396541999999994,2.08311017,1.688973526666667,592.0755916012403,1.0,1.0,0.6266666666666667,0.5833333333333334,0,6.308128542004852
clickhouse-prefilter,global,450,4.7869165,6.407739949999999,7.07972591,4.852637777777778,206.07348946987366,0.9406666666666669,0.9426666666666668,0.2866666666666667,0.25666666666666665,0,30.421807374979835
clickhouse-prefilter,document-filter,450,5.798354,7.338643899999999,8.000617169999998,5.79578623111111,172.53914484149115,1.0,1.0,0.6266666666666667,0.5833333333333334,0,30.421807374979835
milvus,global,450,2.9049165,4.10154605,4.77839334,2.9288904066666666,341.42622671159876,0.98,0.9806666666666667,0.3,0.27,0,14.367636875016615
milvus,document-filter,450,2.0465415,3.2945480999999983,4.373702669999995,2.1638990311111113,462.12877108527726,1.0,1.0,0.6266666666666667,0.5833333333333334,0,14.367636875016615
cortex,global,450,90.76575,173.68409025,674.3135924999988,115.54067906666667,8.654960383459427,0.994,0.9953333333333333,0.29333333333333333,0.2633333333333333,0,81.59002154201153
cortex,document-filter,450,89.1108545,174.54311424999997,316.91223833999976,103.59018471333334,9.653424238670052,0.9966666666666667,0.9966666666666667,0.6266666666666667,0.5833333333333334,0,81.59002154201153
