rows,mode,workload,engine,import_rss_bytes,setup_rss_bytes,process_peak_rss_bytes,output_bytes
100000,memory,groupby,pandas,121503744.0,137854976.0,139100160.0,1732
100000,memory,groupby,duckdb,121454592.0,140443648.0,144654336.0,1732
100000,parquet,groupby,duckdb,121602048.0,124387328.0,128761856.0,1732
100000,parquet,groupby,pandas,121323520.0,121323520.0,138362880.0,1732
10000000,memory,join_groupby,duckdb,121372672.0,743243776.0,748503040.0,6532
10000000,memory,join_groupby,pandas,121896960.0,741015552.0,1586102272.0,6532
100000,memory,filter_project,duckdb,121585664.0,144769024.0,146046976.0,477396
100000,memory,filter_project,pandas,121700352.0,141606912.0,141967360.0,477396
100000,warehouse,clean_derive,snowflake,,,,1600132
10000000,memory,clean_derive,pandas,121733120.0,923795456.0,1444216832.0,160000132
10000000,memory,clean_derive,duckdb,121176064.0,922550272.0,1392640000.0,160000132
1000000,parquet,groupby,duckdb,121225216.0,124256256.0,133922816.0,1732
1000000,parquet,groupby,pandas,121520128.0,121520128.0,210714624.0,1732
1000000,warehouse,clean_derive,snowflake,,,,16000132
10000000,memory,filter_project,duckdb,121864192.0,930807808.0,1040023552.0,47522292
10000000,memory,filter_project,pandas,121749504.0,922288128.0,1163116544.0,47522292
1000000,warehouse,groupby,snowflake,,,,1732
100000,parquet,clean_derive,pandas,121389056.0,121389056.0,141524992.0,1600132
100000,parquet,clean_derive,duckdb,122241024.0,125091840.0,132022272.0,1600132
10000000,parquet,clean_derive,duckdb,121323520.0,124092416.0,672759808.0,160000132
10000000,parquet,clean_derive,pandas,121864192.0,121864192.0,1443659776.0,160000132
10000000,warehouse,filter_project,snowflake,,,,47522292
1000000,warehouse,join_groupby,snowflake,,,,6532
10000000,warehouse,groupby,snowflake,,,,1732
10000000,parquet,join_groupby,pandas,121421824.0,121421824.0,1583005696.0,6532
10000000,parquet,join_groupby,duckdb,121454592.0,124256256.0,162775040.0,6532
100000,warehouse,filter_project,snowflake,,,,477396
100000,parquet,filter_project,pandas,121274368.0,121274368.0,138461184.0,477396
100000,parquet,filter_project,duckdb,121733120.0,124387328.0,129810432.0,477396
10000000,memory,groupby,duckdb,122388480.0,694714368.0,698957824.0,1732
10000000,memory,groupby,pandas,121438208.0,692502528.0,864403456.0,1732
10000000,parquet,groupby,pandas,121602048.0,121602048.0,866025472.0,1732
10000000,parquet,groupby,duckdb,121634816.0,124387328.0,149585920.0,1732
1000000,parquet,clean_derive,pandas,121470976.0,121470976.0,261357568.0,16000132
1000000,parquet,clean_derive,duckdb,121503744.0,124321792.0,189595648.0,16000132
1000000,warehouse,filter_project,snowflake,,,,4758828
1000000,parquet,join_groupby,pandas,121274368.0,121274368.0,307937280.0,6532
1000000,parquet,join_groupby,duckdb,121651200.0,124420096.0,145457152.0,6532
100000,memory,clean_derive,duckdb,121421824.0,143310848.0,144949248.0,1600132
100000,memory,clean_derive,pandas,121618432.0,140509184.0,141426688.0,1600132
100000,memory,join_groupby,duckdb,121241600.0,141885440.0,147931136.0,6532
100000,memory,join_groupby,pandas,121470976.0,139313152.0,147587072.0,6532
100000,parquet,join_groupby,duckdb,121225216.0,124108800.0,134070272.0,6532
100000,parquet,join_groupby,pandas,121651200.0,121651200.0,147734528.0,6532
10000000,parquet,filter_project,pandas,122109952.0,122109952.0,663175168.0,47522292
10000000,parquet,filter_project,duckdb,121700352.0,124534784.0,313458688.0,47522292
10000000,warehouse,clean_derive,snowflake,,,,160000132
100000,warehouse,join_groupby,snowflake,,,,6532
1000000,parquet,filter_project,duckdb,121339904.0,124174336.0,151601152.0,4758828
1000000,parquet,filter_project,pandas,121241600.0,121241600.0,207601664.0,4758828
10000000,warehouse,join_groupby,snowflake,,,,6532
1000000,memory,join_groupby,pandas,121339904.0,195837952.0,311181312.0,6532
1000000,memory,join_groupby,duckdb,121307136.0,200278016.0,205602816.0,6532
1000000,memory,clean_derive,pandas,121405440.0,213057536.0,261652480.0,16000132
1000000,memory,clean_derive,duckdb,121274368.0,215236608.0,250789888.0,16000132
100000,warehouse,groupby,snowflake,,,,1732
1000000,memory,filter_project,duckdb,121274368.0,215531520.0,224231424.0,4758828
1000000,memory,filter_project,pandas,121274368.0,211828736.0,228491264.0,4758828
1000000,memory,groupby,pandas,121470976.0,188432384.0,207192064.0,1732
1000000,memory,groupby,duckdb,121192448.0,192806912.0,197001216.0,1732
