rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated,execute_roundtrip_ms,fetch_dataframe_ms,query_id,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned
1000000,parquet,groupby,duckdb,1,2,4.465167,13.992,50,True,,,,,,,,,
1000000,parquet,groupby,duckdb,1,3,4.049708,11.92,50,True,,,,,,,,,
1000000,parquet,groupby,duckdb,1,4,4.063875,12.976,50,True,,,,,,,,,
1000000,parquet,groupby,duckdb,1,5,4.245125,12.032,50,True,,,,,,,,,
1000000,parquet,groupby,pandas,1,1,11.216667,17.886,50,True,,,,,,,,,
1000000,parquet,groupby,pandas,1,2,10.7665,16.417,50,True,,,,,,,,,
1000000,parquet,groupby,pandas,1,3,10.698208,16.449,50,True,,,,,,,,,
1000000,parquet,groupby,pandas,1,4,10.84825,16.893,50,True,,,,,,,,,
1000000,parquet,groupby,pandas,1,5,11.483958,17.583,50,True,,,,,,,,,
1000000,warehouse,clean_derive,snowflake,1,1,775.291459,67.684,1000000,True,480.602417,294.689042,01c6f1cf-0001-fe0c-0001-9ade000af86a,427.0,30.0,397.0,0.0,0.0,7627264.0
1000000,warehouse,clean_derive,snowflake,1,2,727.276042,70.146,1000000,True,518.604625,208.671417,01c6f1cf-0001-fcf8-0001-9ade000aa37a,434.0,32.0,402.0,0.0,0.0,7627264.0
1000000,warehouse,clean_derive,snowflake,1,3,1026.427834,89.739,1000000,True,518.008417,508.419417,01c6f1cf-0001-fe0c-0001-9ade000af86e,433.0,30.0,403.0,0.0,0.0,7627264.0
1000000,warehouse,clean_derive,snowflake,1,4,1063.903875,79.768,1000000,True,533.430916,530.472959,01c6f1cf-0001-fcf8-0001-9ade000aa37e,471.0,40.0,431.0,0.0,0.0,7627264.0
1000000,warehouse,clean_derive,snowflake,1,5,1284.498834,97.628,1000000,True,502.926584,781.57225,01c6f1cf-0001-fe0c-0001-9ade000af872,439.0,31.0,408.0,0.0,0.0,7627264.0
10000000,memory,filter_project,duckdb,1,1,12.417,36.525,1980090,True,,,,,,,,,
10000000,memory,filter_project,duckdb,1,2,11.818584,34.671,1980090,True,,,,,,,,,
10000000,memory,filter_project,duckdb,1,3,12.283833,35.786,1980090,True,,,,,,,,,
10000000,memory,filter_project,duckdb,1,4,12.629667,39.07,1980090,True,,,,,,,,,
10000000,memory,filter_project,duckdb,1,5,11.571375,34.16,1980090,True,,,,,,,,,
10000000,memory,filter_project,pandas,1,1,18.197333,18.155,1980090,True,,,,,,,,,
10000000,memory,filter_project,pandas,1,2,16.885875,16.879,1980090,True,,,,,,,,,
10000000,memory,filter_project,pandas,1,3,16.064417,16.057,1980090,True,,,,,,,,,
10000000,memory,filter_project,pandas,1,4,15.990542,15.971,1980090,True,,,,,,,,,
10000000,memory,filter_project,pandas,1,5,15.634083,15.608,1980090,True,,,,,,,,,
1000000,warehouse,groupby,snowflake,1,1,100.577375,2.337,50,True,99.857792,0.719583,01c6f1cf-0001-fcf8-0001-9ade000aa38a,70.0,36.0,34.0,0.0,0.0,7627264.0
1000000,warehouse,groupby,snowflake,1,2,124.094958,7.892,50,True,95.672542,28.422416,01c6f1cf-0001-fcf8-0001-9ade000aa38e,69.0,36.0,33.0,0.0,0.0,7627264.0
1000000,warehouse,groupby,snowflake,1,3,94.6195,2.278,50,True,93.995334,0.624166,01c6f1cf-0001-fe0c-0001-9ade000af87a,64.0,30.0,34.0,0.0,0.0,7627264.0
1000000,warehouse,groupby,snowflake,1,4,85.075083,2.147,50,True,84.535625,0.539458,01c6f1cf-0001-fcf8-0001-9ade000aa392,64.0,33.0,31.0,0.0,0.0,7627264.0
1000000,warehouse,groupby,snowflake,1,5,151.735875,2.147,50,True,151.117667,0.618208,01c6f1cf-0001-fe0c-0001-9ade000af87e,73.0,40.0,33.0,0.0,0.0,7627264.0
100000,parquet,clean_derive,pandas,1,1,2.389708,3.358,100000,True,,,,,,,,,
100000,parquet,clean_derive,pandas,1,2,2.281625,3.221,100000,True,,,,,,,,,
100000,parquet,clean_derive,pandas,1,3,2.576208,3.469,100000,True,,,,,,,,,
100000,parquet,clean_derive,pandas,1,4,2.342875,3.42,100000,True,,,,,,,,,
100000,parquet,clean_derive,pandas,1,5,2.356375,3.393,100000,True,,,,,,,,,
100000,parquet,clean_derive,duckdb,1,1,3.059292,3.101,100000,True,,,,,,,,,
100000,parquet,clean_derive,duckdb,1,2,2.834875,2.873,100000,True,,,,,,,,,
100000,parquet,clean_derive,duckdb,1,3,3.009375,3.063,100000,True,,,,,,,,,
100000,parquet,clean_derive,duckdb,1,4,2.861625,2.893,100000,True,,,,,,,,,
100000,parquet,clean_derive,duckdb,1,5,3.099542,3.141,100000,True,,,,,,,,,
10000000,parquet,clean_derive,duckdb,1,1,70.56275,240.587,10000000,True,,,,,,,,,
10000000,parquet,clean_derive,duckdb,1,2,70.023,241.732,10000000,True,,,,,,,,,
10000000,parquet,clean_derive,duckdb,1,3,67.13575,233.219,10000000,True,,,,,,,,,
10000000,parquet,clean_derive,duckdb,1,4,66.593042,231.908,10000000,True,,,,,,,,,
10000000,parquet,clean_derive,duckdb,1,5,66.132125,229.896,10000000,True,,,,,,,,,
10000000,parquet,clean_derive,pandas,1,1,80.857959,197.627,10000000,True,,,,,,,,,
10000000,parquet,clean_derive,pandas,1,2,75.454334,186.345,10000000,True,,,,,,,,,
10000000,parquet,clean_derive,pandas,1,3,77.715834,188.216,10000000,True,,,,,,,,,
10000000,parquet,clean_derive,pandas,1,4,85.846042,201.815,10000000,True,,,,,,,,,
