engine,mode,requests,p50_ms,p95_ms,p99_ms,mean_ms,serial_qps,ann_recall,tie_aware_ann_recall,evidence_hit,evidence_page_recall,shortfall_count,load_and_index_s
duckdb-hnsw-prefilter,global,450,1.9387919999999998,2.3174606,2.573695,1.97867434,505.3888756651082,0.9673333333333335,0.9693333333333334,0.28,0.25,0,6.308128542004852
duckdb-hnsw-prefilter,document-filter,450,1.6747085,1.9396541999999994,2.08311017,1.688973526666667,592.0755916012403,1.0,1.0,0.6266666666666667,0.5833333333333334,0,6.308128542004852
clickhouse-prefilter,global,450,4.7869165,6.407739949999999,7.07972591,4.852637777777778,206.07348946987366,0.9406666666666669,0.9426666666666668,0.2866666666666667,0.25666666666666665,0,30.421807374979835
clickhouse-prefilter,document-filter,450,5.798354,7.338643899999999,8.000617169999998,5.79578623111111,172.53914484149115,1.0,1.0,0.6266666666666667,0.5833333333333334,0,30.421807374979835
milvus,global,450,2.9049165,4.10154605,4.77839334,2.9288904066666666,341.42622671159876,0.98,0.9806666666666667,0.3,0.27,0,14.367636875016615
milvus,document-filter,450,2.0465415,3.2945480999999983,4.373702669999995,2.1638990311111113,462.12877108527726,1.0,1.0,0.6266666666666667,0.5833333333333334,0,14.367636875016615
