rows,workload,path,n,mean_ms,std_ms,median_ms,min_ms,max_ms
10000000,filter_project,snowflake_xsmall,30,331.8666666666667,117.77703462499585,301.5,262.0,923.0
10000000,groupby,duckdb,30,29.2834374,1.02053124990375,29.050083,27.892125,31.157416
10000000,groupby,pandas,30,194.15118336666666,11.34942327795702,193.6199375,180.408167,226.408459
10000000,groupby,snowflake_large,30,100.56666666666666,54.178302905749334,85.5,72.0,303.0
10000000,groupby,snowflake_medium,30,93.23333333333333,13.949869195613006,88.0,79.0,133.0
10000000,groupby,snowflake_small,30,96.83333333333333,9.667162095905175,94.0,79.0,117.0
10000000,groupby,snowflake_xsmall,30,100.3,25.869899963817623,95.5,78.0,207.0
10000000,join_groupby,duckdb,30,44.93162073333333,1.0515442032491835,44.516020999999995,43.454875,47.324708
10000000,join_groupby,pandas,30,597.5383653666667,42.347197641696134,578.425688,545.9155,709.800084
10000000,join_groupby,snowflake_large,30,133.76666666666668,12.187283744028907,132.0,120.0,177.0
10000000,join_groupby,snowflake_medium,30,160.96666666666667,56.20251763494005,137.5,116.0,334.0
10000000,join_groupby,snowflake_small,30,149.53333333333333,19.64290401546878,147.0,128.0,240.0
10000000,join_groupby,snowflake_xsmall,30,147.66666666666666,16.735947957106838,144.0,126.0,220.0
100000000,clean_derive,duckdb,30,2239.678613833333,112.68875416597764,2210.684271,2083.868375,2425.958625
100000000,clean_derive,pandas,30,935.6935208333333,46.93934457407769,917.725312,873.836916,1018.051041
100000000,clean_derive,snowflake_large,30,1455.8666666666666,112.88863396357013,1459.5,1309.0,1786.0
100000000,clean_derive,snowflake_medium,30,1473.2666666666667,88.74058797429161,1463.5,1374.0,1743.0
100000000,clean_derive,snowflake_small,30,2707.5,48.847934343789525,2696.5,2623.0,2824.0
100000000,clean_derive,snowflake_xsmall,30,4292.933333333333,165.73991535001423,4324.0,3778.0,4546.0
100000000,filter_project,duckdb,30,1434.8996902000001,63.81703679666471,1435.8170205000001,1326.993542,1522.160834
