query_id,client_execute_roundtrip_ms,output_rows,validation,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned,elapsed_ms,path,rows,workload,block,run,metric_scope,cpu_ms,input_ms,output_bytes,output_batches,checksum,type,block_peak_rss_bytes
01c6f2db-0001-fe2b-0001-9ade000bd06e,559.146042,19798586,row-count; full checksum query before block,478.0,52.0,426.0,0.0,0.0,3083249664.0,478.0,snowflake_medium,100000000,filter_project,1,5,platform_query,,,,,,,
01c6f2db-0001-fe2b-0001-9ade000bd072,126.136334,50,row-count; full checksum query before block,95.0,38.0,57.0,0.0,0.0,151591936.0,95.0,snowflake_medium,10000000,groupby,1,1,platform_query,,,,,,,
01c6f2db-0001-fcf9-0001-9ade000be046,110.253708,50,row-count; full checksum query before block,83.0,41.0,42.0,0.0,0.0,151591936.0,83.0,snowflake_medium,10000000,groupby,1,2,platform_query,,,,,,,
01c6f2db-0001-fcf9-0001-9ade000be04a,185.367375,50,row-count; full checksum query before block,88.0,37.0,51.0,0.0,0.0,151591936.0,88.0,snowflake_medium,10000000,groupby,1,3,platform_query,,,,,,,
01c6f2db-0001-fe2b-0001-9ade000bd076,122.663875,50,row-count; full checksum query before block,92.0,37.0,55.0,0.0,0.0,151591936.0,92.0,snowflake_medium,10000000,groupby,1,4,platform_query,,,,,,,
01c6f2db-0001-fe0c-0001-9ade000bf01a,156.710667,50,row-count; full checksum query before block,88.0,41.0,47.0,0.0,0.0,151591936.0,88.0,snowflake_medium,10000000,groupby,1,5,platform_query,,,,,,,
01c6f2db-0001-fcf8-0001-9ade000ba8fe,1621.089875,200,row-count; full checksum query before block,1583.0,70.0,1513.0,0.0,0.0,7635346944.0,1583.0,snowflake_medium,1000000000,join_groupby,1,1,platform_query,,,,,,,
01c6f2db-0001-fcf9-0001-9ade000be04e,1645.751667,200,row-count; full checksum query before block,1605.0,143.0,1462.0,0.0,0.0,7635346944.0,1605.0,snowflake_medium,1000000000,join_groupby,1,2,platform_query,,,,,,,
01c6f2db-0001-fe0c-0001-9ade000bf026,1604.582208,200,row-count; full checksum query before block,1565.0,60.0,1505.0,0.0,0.0,7635346944.0,1565.0,snowflake_medium,1000000000,join_groupby,1,3,platform_query,,,,,,,
01c6f2db-0001-fcf8-0001-9ade000ba902,1672.657958,200,row-count; full checksum query before block,1576.0,45.0,1531.0,0.0,0.0,7635346944.0,1576.0,snowflake_medium,1000000000,join_groupby,1,4,platform_query,,,,,,,
01c6f2db-0001-fe2b-0001-9ade000bd07a,1718.8245,200,row-count; full checksum query before block,1680.0,232.0,1448.0,0.0,0.0,7635346944.0,1680.0,snowflake_medium,1000000000,join_groupby,1,5,platform_query,,,,,,,
01c6f2dc-0001-fe2b-0001-9ade000bd082,10078.854958,1000000000,row-count; full checksum query before block,9960.0,50.0,9910.0,0.0,0.0,7635108352.0,9960.0,snowflake_medium,1000000000,clean_derive,1,1,platform_query,,,,,,,
01c6f2dc-0001-fcf8-0001-9ade000ba90a,10030.207291,1000000000,row-count; full checksum query before block,9919.0,46.0,9873.0,0.0,0.0,7635108352.0,9919.0,snowflake_medium,1000000000,clean_derive,1,2,platform_query,,,,,,,
01c6f2dc-0001-fe2b-0001-9ade000bd086,10041.474625,1000000000,row-count; full checksum query before block,9925.0,57.0,9868.0,0.0,0.0,7635108352.0,9925.0,snowflake_medium,1000000000,clean_derive,1,3,platform_query,,,,,,,
01c6f2dc-0001-fe2b-0001-9ade000bd08a,10118.453584,1000000000,row-count; full checksum query before block,9920.0,62.0,9858.0,0.0,0.0,7635108352.0,9920.0,snowflake_medium,1000000000,clean_derive,1,4,platform_query,,,,,,,
