rows,mode,workload,engine,import_rss_bytes,setup_rss_bytes,process_peak_rss_bytes,output_bytes
100000,memory,filter_project,duckdb,121012224,143376384,145342464,477396
100000,memory,filter_project,pandas,121110528,139411456,140640256,477396
10000,parquet,join_groupby,duckdb,120913920,123666432,131760128,6532
10000,parquet,join_groupby,pandas,121061376,121061376,139395072,6532
100000,parquet,clean_derive,duckdb,120881152,123748352,131825664,1600132
100000,parquet,clean_derive,pandas,121044992,121044992,141983744,1600132
10000,parquet,groupby,pandas,120946688,120946688,132153344,1732
10000,parquet,groupby,duckdb,121176064,123928576,128516096,1732
100000,parquet,groupby,pandas,120897536,120897536,138936320,1732
100000,parquet,groupby,duckdb,120881152,123813888,129335296,1732
100000,memory,clean_derive,duckdb,121126912,141901824,147161088,1600132
100000,memory,clean_derive,pandas,121192448,138854400,140984320,1600132
1000,parquet,clean_derive,duckdb,120733696,123486208,127991808,16132
1000,parquet,clean_derive,pandas,120995840,120995840,130514944,16132
1000,parquet,filter_project,pandas,120913920,120913920,130596864,4668
1000,parquet,filter_project,duckdb,121012224,123813888,128122880,4668
10000,memory,filter_project,duckdb,121028608,134856704,136052736,48228
10000,memory,filter_project,pandas,121159680,130842624,131547136,48228
10000,parquet,clean_derive,duckdb,120881152,123731968,128516096,160132
10000,parquet,clean_derive,pandas,120733696,120733696,131383296,160132
1000,memory,filter_project,duckdb,121536512,134316032,135512064,4668
1000,memory,filter_project,pandas,121208832,129843200,130514944,4668
100000,parquet,filter_project,pandas,121012224,121012224,138641408,477396
100000,parquet,filter_project,duckdb,121044992,123748352,130318336,477396
1000,memory,clean_derive,duckdb,121012224,134119424,135397376,16132
1000,memory,clean_derive,pandas,120897536,129925120,130514944,16132
1000,parquet,groupby,duckdb,121094144,123863040,128565248,1732
1000,parquet,groupby,pandas,121044992,121044992,131547136,1732
10000,memory,join_groupby,pandas,120946688,134922240,140361728,6532
10000,memory,join_groupby,duckdb,121044992,138510336,144375808,6532
1000,parquet,join_groupby,duckdb,120930304,123944960,131825664,6532
1000,parquet,join_groupby,pandas,120979456,120979456,137756672,6532
10000,parquet,filter_project,pandas,120995840,120995840,131334144,48228
10000,parquet,filter_project,duckdb,120995840,123666432,128155648,48228
10000,memory,groupby,pandas,120750080,129892352,132087808,1732
10000,memory,groupby,duckdb,120881152,134168576,138231808,1732
100000,memory,join_groupby,duckdb,120848384,143802368,153206784,6532
100000,memory,join_groupby,pandas,120848384,138477568,149487616,6532
100000,parquet,join_groupby,pandas,120946688,120946688,154927104,6532
100000,parquet,join_groupby,duckdb,120864768,123748352,134660096,6532
100000,memory,groupby,pandas,120995840,135905280,139427840,1732
100000,memory,groupby,duckdb,120815616,139952128,144261120,1732
10000,memory,clean_derive,pandas,121094144,130727936,131481600,160132
10000,memory,clean_derive,duckdb,121012224,134709248,136183808,160132
1000,memory,groupby,duckdb,120684544,133545984,138117120,1732
1000,memory,groupby,pandas,120832000,129400832,131383296,1732
1000,memory,join_groupby,duckdb,120782848,137805824,143507456,6532
1000,memory,join_groupby,pandas,120815616,133939200,139329536,6532
