rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated
100000,memory,groupby,pandas,1,2,2.586375,2.582,50,True
100000,memory,groupby,duckdb,1,1,1.476042,1.748,50,True
100000,memory,groupby,duckdb,1,2,1.529584,1.864,50,True
10000,memory,clean_derive,pandas,1,1,0.687458,0.689,10000,True
10000,memory,clean_derive,pandas,1,2,0.560417,0.57,10000,True
10000,memory,clean_derive,duckdb,1,1,1.119708,1.156,10000,True
10000,memory,clean_derive,duckdb,1,2,1.260666,1.47,10000,True
1000,memory,groupby,duckdb,1,1,0.841708,1.119,50,True
1000,memory,groupby,duckdb,1,2,1.0205,1.281,50,True
1000,memory,groupby,pandas,1,1,2.029209,2.03,50,True
1000,memory,groupby,pandas,1,2,1.9905,1.998,50,True
1000,memory,join_groupby,duckdb,1,1,1.6995,1.999,200,True
1000,memory,join_groupby,duckdb,1,2,1.692833,2.136,200,True
1000,memory,join_groupby,pandas,1,1,3.635625,3.644,200,True
1000,memory,join_groupby,pandas,1,2,3.395375,3.407,200,True
