engine,mode,requests,p50_ms,p95_ms,p99_ms,mean_ms,serial_qps,ann_recall,tie_aware_ann_recall,evidence_hit,evidence_page_recall,shortfall_count,load_and_index_s
sqlite,global,450,45.187104000000005,47.60210435,50.743278079999996,45.41232492,22.020453737209806,0.9973333333333334,1.0,0.29333333333333333,0.2633333333333333,0,2.857589416002156
sqlite,document-filter,450,24.0179585,28.332966449999997,29.270668419999996,24.758537046666667,40.39010859628451,1.0,1.0,0.6266666666666667,0.5833333333333334,0,2.857589416002156
duckdb-exact,global,450,38.402854,39.774043899999995,41.55636491,38.648014082222225,25.87455070453392,0.9993333333333334,1.0,0.29333333333333333,0.2633333333333333,0,2.178180415998213
duckdb-exact,document-filter,450,1.761854,1.91521715,2.16728183,1.7722871333333334,564.2426563912311,1.0,1.0,0.6266666666666667,0.5833333333333334,0,2.178180415998213
duckdb-hnsw,global,450,1.994104,2.4095579999999996,2.6798968299999997,2.0411556222222225,489.91854864613015,0.9713333333333334,0.9733333333333334,0.28,0.25,0,6.492980458977399
duckdb-hnsw,document-filter,450,1.899896,2.09566495,2.22709717,1.9130716666666665,522.7195705336009,0.14200000000000002,0.14200000000000002,0.28,0.25,450,6.492980458977399
postgres,global,450,2.3352500000000003,3.769456099999999,4.766054419999998,2.4575789577777782,406.9045256247767,0.9580000000000001,0.96,0.2866666666666667,0.25666666666666665,0,28.09170308301691
postgres,document-filter,450,0.48622849999999995,1.0601185999999905,1.8415490899999998,0.5478633311111111,1825.2727335701027,1.0,1.0,0.6266666666666667,0.5833333333333334,0,28.09170308301691
clickhouse,global,450,4.9951035,6.714552199999997,8.08754067,5.1169789622222215,195.42781148463354,0.9480000000000001,0.9506666666666667,0.3,0.27,0,32.32574775000103
clickhouse,document-filter,450,4.75525,6.4201878,7.86974651,4.828632804444445,207.09795929803659,0.1426666666666667,0.1426666666666667,0.3,0.27,450,32.32574775000103
qdrant,global,450,3.2020419999999996,5.571051749999993,6.943452259999993,3.4546368733333335,289.46602397464517,0.9580000000000001,0.96,0.2866666666666667,0.25666666666666665,0,17.592132833990036
qdrant,document-filter,450,2.317875,4.1469188999999975,5.924486419999996,2.4774539822222224,403.6401915740214,1.0,1.0,0.6266666666666667,0.5833333333333334,0,17.592132833990036
weaviate,global,450,1.468542,2.3315461999999987,2.8888882499999995,1.51076962,661.9142897512064,0.9486666666666667,0.9493333333333335,0.29333333333333333,0.2633333333333333,0,19.142849249998108
weaviate,document-filter,450,0.5865835,0.7771748499999994,1.643843919999999,0.6234579444444444,1603.9574263362504,1.0,1.0,0.6266666666666667,0.5833333333333334,0,19.142849249998108
