rows,workload,path,n,mean_ms,std_ms,median_ms,min_ms,max_ms
100000,groupby,snowflake_large,2,90.0,46.66904755831214,90.0,57.0,123.0
100000,groupby,snowflake_medium,2,51.0,1.4142135623730951,51.0,50.0,52.0
100000,groupby,snowflake_small,2,63.0,2.8284271247461903,63.0,61.0,65.0
100000,groupby,snowflake_xsmall,2,55.5,2.1213203435596424,55.5,54.0,57.0
100000,join_groupby,duckdb,2,4.871313000000001,0.1368548606444067,4.871313000000001,4.774542,4.968084
100000,join_groupby,pandas,2,8.913729499999999,0.08046238773799903,8.913729499999999,8.856834,8.970625
100000,join_groupby,snowflake_large,2,99.5,4.949747468305833,99.5,96.0,103.0
100000,join_groupby,snowflake_medium,2,104.5,3.5355339059327378,104.5,102.0,107.0
100000,join_groupby,snowflake_small,2,87.5,0.7071067811865476,87.5,87.0,88.0
100000,join_groupby,snowflake_xsmall,2,488.5,566.3925317304246,488.5,88.0,889.0
