rows,workload,path,component,n,mean_ms,std_ms
1000,join_groupby,snowflake_medium,server_compilation_ms,2,53.5,6.363961030678928
1000,join_groupby,snowflake_medium,server_provisioning_queue_ms,2,0.0,0.0
1000,join_groupby,snowflake_medium,server_overload_queue_ms,2,0.0,0.0
1000,join_groupby,snowflake_medium,client_execute_roundtrip_ms,2,114.084229,13.761682476967774
1000,join_groupby,snowflake_small,server_total_ms,2,399.0,398.8082245892128
1000,join_groupby,snowflake_small,server_execution_ms,2,27.0,5.656854249492381
1000,join_groupby,snowflake_small,server_compilation_ms,2,372.0,404.4650788387052
1000,join_groupby,snowflake_small,server_provisioning_queue_ms,2,0.0,0.0
1000,join_groupby,snowflake_small,server_overload_queue_ms,2,0.0,0.0
1000,join_groupby,snowflake_small,client_execute_roundtrip_ms,2,452.46500000000003,426.9346342477748
1000,join_groupby,snowflake_xsmall,server_total_ms,2,73.0,2.8284271247461903
1000,join_groupby,snowflake_xsmall,server_execution_ms,2,21.5,2.1213203435596424
1000,join_groupby,snowflake_xsmall,server_compilation_ms,2,51.5,0.7071067811865476
1000,join_groupby,snowflake_xsmall,server_provisioning_queue_ms,2,0.0,0.0
1000,join_groupby,snowflake_xsmall,server_overload_queue_ms,2,0.0,0.0
1000,join_groupby,snowflake_xsmall,client_execute_roundtrip_ms,2,108.51664550000001,1.8579520589456777
10000,clean_derive,snowflake_large,server_total_ms,2,113.5,0.7071067811865476
10000,clean_derive,snowflake_large,server_execution_ms,2,76.0,1.4142135623730951
10000,clean_derive,snowflake_large,server_compilation_ms,2,37.5,0.7071067811865476
10000,clean_derive,snowflake_large,server_provisioning_queue_ms,2,0.0,0.0
10000,clean_derive,snowflake_large,server_overload_queue_ms,2,0.0,0.0
10000,clean_derive,snowflake_large,client_execute_roundtrip_ms,2,180.94706250000002,7.762470458548648
10000,clean_derive,snowflake_medium,server_total_ms,2,110.0,7.0710678118654755
10000,clean_derive,snowflake_medium,server_execution_ms,2,75.5,3.5355339059327378
10000,clean_derive,snowflake_medium,server_compilation_ms,2,34.5,3.5355339059327378
10000,clean_derive,snowflake_medium,server_provisioning_queue_ms,2,0.0,0.0
10000,clean_derive,snowflake_medium,server_overload_queue_ms,2,0.0,0.0
10000,clean_derive,snowflake_medium,client_execute_roundtrip_ms,2,169.83474999999999,1.475024745555127
10000,clean_derive,snowflake_small,server_total_ms,2,240.5,191.6259377015544
10000,clean_derive,snowflake_small,server_execution_ms,2,70.5,4.949747468305833
10000,clean_derive,snowflake_small,server_compilation_ms,2,170.0,186.67619023324855
10000,clean_derive,snowflake_small,server_provisioning_queue_ms,2,0.0,0.0
10000,clean_derive,snowflake_small,server_overload_queue_ms,2,0.0,0.0
10000,clean_derive,snowflake_small,client_execute_roundtrip_ms,2,313.0139375,212.00419581388675
10000,clean_derive,snowflake_xsmall,server_total_ms,2,140.5,21.920310216782973
