query_id,client_execute_roundtrip_ms,output_rows,validation,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned,elapsed_ms,path,rows,workload,block,run,metric_scope,cpu_ms,input_ms,output_bytes,output_batches,checksum,type,block_peak_rss_bytes
01c6f2c2-0001-fe0c-0001-9ade000b9dde,109.830416,200,row-count; full checksum query before block,75.0,52.0,23.0,0.0,0.0,248832.0,75.0,snowflake_xsmall,1000,join_groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9de2,107.202875,200,row-count; full checksum query before block,71.0,51.0,20.0,0.0,0.0,248832.0,71.0,snowflake_xsmall,1000,join_groupby,1,2,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9dee,207.195083,200,row-count; full checksum query before block,88.0,56.0,32.0,0.0,0.0,1211904.0,88.0,snowflake_xsmall,100000,join_groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba6ce,924.53975,200,row-count; full checksum query before block,889.0,857.0,32.0,0.0,0.0,1211904.0,889.0,snowflake_xsmall,100000,join_groupby,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba6d6,111.002875,2004,row-count; full checksum query before block,46.0,35.0,11.0,0.0,0.0,95232.0,46.0,snowflake_xsmall,10000,filter_project,1,1,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba6da,86.779041,2004,row-count; full checksum query before block,57.0,47.0,10.0,0.0,0.0,95232.0,57.0,snowflake_xsmall,10000,filter_project,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba6e2,185.764833,19886,row-count; full checksum query before block,132.0,39.0,93.0,0.0,0.0,973312.0,132.0,snowflake_xsmall,100000,filter_project,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e06,599.872209,19886,row-count; full checksum query before block,342.0,52.0,290.0,0.0,0.0,973312.0,342.0,snowflake_xsmall,100000,filter_project,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba6ee,75.417292,50,row-count; full checksum query before block,54.0,35.0,19.0,0.0,0.0,973312.0,54.0,snowflake_xsmall,100000,groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba6f2,82.560708,50,row-count; full checksum query before block,57.0,40.0,17.0,0.0,0.0,973312.0,57.0,snowflake_xsmall,100000,groupby,1,2,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e12,326.497459,100000,row-count; full checksum query before block,253.0,78.0,175.0,0.0,0.0,973312.0,253.0,snowflake_xsmall,100000,clean_derive,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e16,344.902583,100000,row-count; full checksum query before block,261.0,61.0,200.0,0.0,0.0,973312.0,261.0,snowflake_xsmall,100000,clean_derive,1,2,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e1a,122.807208,1000,row-count; full checksum query before block,87.0,75.0,12.0,0.0,0.0,10240.0,87.0,snowflake_xsmall,1000,clean_derive,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e1e,120.073792,1000,row-count; full checksum query before block,87.0,76.0,11.0,0.0,0.0,10240.0,87.0,snowflake_xsmall,1000,clean_derive,1,2,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e2a,178.641292,50,row-count; full checksum query before block,96.0,78.0,18.0,0.0,0.0,95232.0,96.0,snowflake_xsmall,10000,groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e2e,212.082625,50,row-count; full checksum query before block,157.0,141.0,16.0,0.0,0.0,95232.0,157.0,snowflake_xsmall,10000,groupby,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba716,148.639541,200,row-count; full checksum query before block,88.0,65.0,23.0,0.0,0.0,333824.0,88.0,snowflake_xsmall,10000,join_groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e36,173.115208,200,row-count; full checksum query before block,109.0,86.0,23.0,0.0,0.0,333824.0,109.0,snowflake_xsmall,10000,join_groupby,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba71e,111.337208,50,row-count; full checksum query before block,62.0,45.0,17.0,0.0,0.0,10240.0,62.0,snowflake_xsmall,1000,groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba722,119.647792,50,row-count; full checksum query before block,79.0,65.0,14.0,0.0,0.0,10240.0,79.0,snowflake_xsmall,1000,groupby,1,2,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e4a,219.515542,10000,row-count; full checksum query before block,156.0,76.0,80.0,0.0,0.0,95232.0,156.0,snowflake_xsmall,10000,clean_derive,1,1,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba72a,204.672375,10000,row-count; full checksum query before block,125.0,35.0,90.0,0.0,0.0,95232.0,125.0,snowflake_xsmall,10000,clean_derive,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba736,83.517834,189,row-count; full checksum query before block,48.0,38.0,10.0,0.0,0.0,10240.0,48.0,snowflake_xsmall,1000,filter_project,1,1,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba73a,126.751542,189,row-count; full checksum query before block,50.0,40.0,10.0,0.0,0.0,10240.0,50.0,snowflake_xsmall,1000,filter_project,1,2,platform_query,,,,,,,
,,2004,row-count; full checksum in block warmup,,,,,,,1.866875,pandas,10000,filter_project,1,1,local_parquet_to_batches,2.103,1.1910420000000002,48096.0,1.0,,measurement,131432448.0
,,2004,row-count; full checksum in block warmup,,,,,,,1.483875,pandas,10000,filter_project,1,2,local_parquet_to_batches,1.691,0.9635,48096.0,1.0,,measurement,131448832.0
,,50,row-count; full checksum in block warmup,,,,,,,2.780208,pandas,1000,groupby,1,1,local_parquet_to_batches,2.964,0.9471670000000001,1600.0,1.0,,measurement,129859584.0
,,50,row-count; full checksum in block warmup,,,,,,,2.492708,pandas,1000,groupby,1,2,local_parquet_to_batches,2.658,0.8722909999999999,1600.0,1.0,,measurement,129875968.0
,,19886,row-count; full checksum in block warmup,,,,,,,3.504167,pandas,100000,filter_project,1,1,local_parquet_to_batches,4.439,2.6427919999999996,477264.0,1.0,,measurement,144293888.0
,,19886,row-count; full checksum in block warmup,,,,,,,3.210417,pandas,100000,filter_project,1,2,local_parquet_to_batches,4.271,2.406542,477264.0,1.0,,measurement,148422656.0
,,100000,row-count; full checksum in block warmup,,,,,,,2.742041,pandas,100000,clean_derive,1,1,local_parquet_to_batches,3.701,1.5329169999999999,1600000.0,1.0,,measurement,144424960.0
,,100000,row-count; full checksum in block warmup,,,,,,,2.692833,pandas,100000,clean_derive,1,2,local_parquet_to_batches,3.682,1.577333,1600000.0,1.0,,measurement,147718144.0
,,200,row-count; full checksum in block warmup,,,,,,,6.536417,pandas,10000,join_groupby,1,1,local_parquet_to_batches,6.822,2.269542,6400.0,1.0,,measurement,145489920.0
