rows,mode,workload,engine,block,run,call_id,compute_to_dataframe_ms,cpu_ms,elapsed_ms,fingerprint,input_ms,output_bytes,output_rows,query_ids,setup_ms,validated,server_queries
1000,warehouse,groupby,duckdb,1,1,01c6f21d-0001-fe0c-0001-9ade000afe4a,3.673562,20.0,105.160119,"{""columns"": [""region_id"", ""total_cents"", ""total_quantity"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""10444308999742168037"", ""hash_xor"": ""5638033058446785103"", ""rows"": 50}",88.817227,1732,50,"[""01c6f21d-0001-fe0c-0001-9ade000afe66""]",12.66933,True,"{""01c6f21d-0001-fe0c-0001-9ade000afe66"": {""server_total_ms"": 69, ""server_compilation_ms"": 59, ""server_execution_ms"": 10, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
1000,warehouse,groupby,duckdb,1,2,01c6f21d-0001-fe0c-0001-9ade000afe4a,3.491493,20.0,122.720002,"{""columns"": [""region_id"", ""total_cents"", ""total_quantity"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""10444308999742168037"", ""hash_xor"": ""5638033058446785103"", ""rows"": 50}",106.515754,1732,50,"[""01c6f21d-0001-fe0c-0001-9ade000afe6a""]",12.712755,True,"{""01c6f21d-0001-fe0c-0001-9ade000afe6a"": {""server_total_ms"": 87, ""server_compilation_ms"": 77, ""server_execution_ms"": 10, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
1000,warehouse,clean_derive,pandas,1,1,01c6f21d-0001-fe2b-0001-9ade000b81b2,0.850565,0.0,100.300301,"{""columns"": [""id"", ""net_cents""], ""dtypes"": [""int64"", ""int64""], ""hash_sum"": ""3180368210041205905"", ""hash_xor"": ""8925613786364592519"", ""rows"": 1000}",99.449736,16132,1000,"[""01c6f21d-0001-fe2b-0001-9ade000b81ce""]",0.0,True,"{""01c6f21d-0001-fe2b-0001-9ade000b81ce"": {""server_total_ms"": 77, ""server_compilation_ms"": 67, ""server_execution_ms"": 10, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
1000,warehouse,clean_derive,pandas,1,2,01c6f21d-0001-fe2b-0001-9ade000b81b2,0.831454,10.0,106.627601,"{""columns"": [""id"", ""net_cents""], ""dtypes"": [""int64"", ""int64""], ""hash_sum"": ""3180368210041205905"", ""hash_xor"": ""8925613786364592519"", ""rows"": 1000}",105.796147,16132,1000,"[""01c6f21d-0001-fe2b-0001-9ade000b81d2""]",0.0,True,"{""01c6f21d-0001-fe2b-0001-9ade000b81d2"": {""server_total_ms"": 85, ""server_compilation_ms"": 74, ""server_execution_ms"": 11, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
10000,warehouse,clean_derive,duckdb,1,1,01c6f21d-0001-fcf8-0001-9ade000aa8c6,2.86626,20.0,116.272199,"{""columns"": [""id"", ""net_cents""], ""dtypes"": [""int64"", ""int64""], ""hash_sum"": ""13143342722286534326"", ""hash_xor"": ""9500279252468633194"", ""rows"": 10000}",99.79069,160132,10000,"[""01c6f21d-0001-fcf8-0001-9ade000aa8e2""]",13.615249,True,"{""01c6f21d-0001-fcf8-0001-9ade000aa8e2"": {""server_total_ms"": 75, ""server_compilation_ms"": 62, ""server_execution_ms"": 13, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}}"
10000,warehouse,clean_derive,duckdb,1,2,01c6f21d-0001-fcf8-0001-9ade000aa8c6,2.723597,20.0,108.858979,"{""columns"": [""id"", ""net_cents""], ""dtypes"": [""int64"", ""int64""], ""hash_sum"": ""13143342722286534326"", ""hash_xor"": ""9500279252468633194"", ""rows"": 10000}",93.459142,160132,10000,"[""01c6f21d-0001-fcf8-0001-9ade000aa8e6""]",12.67624,True,"{""01c6f21d-0001-fcf8-0001-9ade000aa8e6"": {""server_total_ms"": 68, ""server_compilation_ms"": 57, ""server_execution_ms"": 11, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}}"
100000,warehouse,join_groupby,pandas,1,1,01c6f21d-0001-fe0c-0001-9ade000afe76,17.447641,70.0,641.738973,"{""columns"": [""region_id"", ""tier"", ""total_cents"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""15482229778153811636"", ""hash_xor"": ""14299020784962879478"", ""rows"": 200}",624.291332,6532,200,"[""01c6f21d-0001-fe0c-0001-9ade000afe96"", ""01c6f21d-0001-fe0c-0001-9ade000afe9a""]",0.0,True,"{""01c6f21d-0001-fe0c-0001-9ade000afe96"": {""server_total_ms"": 233, ""server_compilation_ms"": 63, ""server_execution_ms"": 170, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 973312}, ""01c6f21d-0001-fe0c-0001-9ade000afe9a"": {""server_total_ms"": 198, ""server_compilation_ms"": 59, ""server_execution_ms"": 139, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 238592}}"
100000,warehouse,join_groupby,pandas,1,2,01c6f21d-0001-fe0c-0001-9ade000afe76,17.578174,60.0,600.063653,"{""columns"": [""region_id"", ""tier"", ""total_cents"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""15482229778153811636"", ""hash_xor"": ""14299020784962879478"", ""rows"": 200}",582.485479,6532,200,"[""01c6f21d-0001-fe0c-0001-9ade000afe9e"", ""01c6f21d-0001-fe0c-0001-9ade000afea2""]",0.0,True,"{""01c6f21d-0001-fe0c-0001-9ade000afe9e"": {""server_total_ms"": 212, ""server_compilation_ms"": 49, ""server_execution_ms"": 163, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 973312}, ""01c6f21d-0001-fe0c-0001-9ade000afea2"": {""server_total_ms"": 181, ""server_compilation_ms"": 53, ""server_execution_ms"": 128, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 238592}}"
100000,warehouse,clean_derive,pandas,1,1,01c6f21d-0001-fcf8-0001-9ade000aa8ee,1.83723,60.0,325.563305,"{""columns"": [""id"", ""net_cents""], ""dtypes"": [""int64"", ""int64""], ""hash_sum"": ""6278141268544677052"", ""hash_xor"": ""11755483584262095886"", ""rows"": 100000}",323.726075,1600132,100000,"[""01c6f21d-0001-fcf8-0001-9ade000aa90a""]",0.0,True,"{""01c6f21d-0001-fcf8-0001-9ade000aa90a"": {""server_total_ms"": 220, ""server_compilation_ms"": 52, ""server_execution_ms"": 168, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 973312}}"
100000,warehouse,clean_derive,pandas,1,2,01c6f21d-0001-fcf8-0001-9ade000aa8ee,1.797253,40.0,325.576894,"{""columns"": [""id"", ""net_cents""], ""dtypes"": [""int64"", ""int64""], ""hash_sum"": ""6278141268544677052"", ""hash_xor"": ""11755483584262095886"", ""rows"": 100000}",323.779641,1600132,100000,"[""01c6f21d-0001-fcf8-0001-9ade000aa90e""]",0.0,True,"{""01c6f21d-0001-fcf8-0001-9ade000aa90e"": {""server_total_ms"": 222, ""server_compilation_ms"": 59, ""server_execution_ms"": 163, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 973312}}"
