rows,workload,engine,n,mean_ms,std_ms,median_ms,min_ms,max_ms,input_mean_ms,setup_mean_ms,compute_mean_ms
100000,clean_derive,duckdb,30,370.0417157333333,60.96349183592775,353.7532735,336.158796,673.441109,350.1431473,13.148185066666667,6.750383366666667
100000,clean_derive,pandas,30,345.5911640666667,19.800377759996,338.697596,313.100106,388.120466,343.6909882666667,0.0,1.9001758
100000,clean_derive,snowflake,30,338.5619252,16.580536443390734,339.695974,312.936376,387.26729,,0.0,338.5619252
100000,filter_project,duckdb,30,284.0388452,11.387240661058184,281.1979795,268.727478,318.858293,268.23974266666664,12.868671466666667,2.930431066666667
100000,filter_project,pandas,30,336.04246853333336,261.588528237563,271.8356935,248.111399,1636.488057,334.6125813666667,0.0,1.4298871666666666
100000,filter_project,snowflake,30,279.7339687333333,32.913724567707916,268.479912,248.47804,395.618375,,0.0,279.7339687333333
100000,groupby,duckdb,30,335.9030587666667,32.27406285421377,325.69955500000003,300.879709,452.3152,316.60663323333335,13.006140833333333,6.2902847
100000,groupby,pandas,30,305.0474812,11.893290458027321,302.2588615,283.318627,333.372678,299.9837126,0.0,5.0637686
100000,groupby,snowflake,30,103.48421266666666,7.448639243043331,101.60744650000001,93.741345,132.365891,,0.0,103.48421266666666
100000,join_groupby,duckdb,30,704.6527506666666,123.5534087738921,680.7977955,639.412442,1346.405517,673.2444087333333,14.5657557,16.842586233333332
100000,join_groupby,pandas,30,673.7567915333333,86.01502229722557,642.1560715,621.840058,1049.859644,655.6961325666666,0.0,18.060658966666665
100000,join_groupby,snowflake,30,163.88245526666665,7.725059753344952,162.5937765,152.838294,180.746453,,0.0,163.88245526666665
1000000,clean_derive,duckdb,30,680.8667732666667,29.762737497645162,672.4511775000001,630.624275,731.017527,649.2281506333334,13.808662933333334,17.8299597
1000000,clean_derive,pandas,30,659.9007455333333,33.79635601913105,650.7488615,614.394157,763.029544,640.6128566,0.0,19.287888933333335
1000000,clean_derive,snowflake,30,673.0063919333334,117.22654102212913,648.034726,620.970243,1283.23858,,0.0,673.0063919333334
1000000,filter_project,duckdb,30,428.70845803333333,35.376733094346946,419.9642625,391.149068,528.120317,409.56352233333337,13.1345669,6.0103688
1000000,filter_project,pandas,30,417.2532865,15.15189591046464,417.054288,396.733641,449.997334,409.93966996666666,0.0,7.313616533333334
1000000,filter_project,snowflake,30,398.08303026666664,17.085176746267198,394.4329765,369.537449,426.327356,,0.0,398.08303026666664
1000000,groupby,duckdb,30,555.7637814666667,22.723897317770522,550.4548505,513.779752,607.006477,531.3932117,13.171594133333333,11.198975633333333
1000000,groupby,pandas,30,563.7514929333333,106.2824304255487,539.793349,519.36568,1119.424136,543.3478749333333,0.0,20.403618
1000000,groupby,snowflake,30,118.22690356666666,7.418577895793938,117.8742205,104.202965,134.503588,,0.0,118.22690356666666
1000000,join_groupby,duckdb,30,944.7831607666667,36.30463081504769,940.3028449999999,891.638038,1094.368938,900.2920559333334,14.8245088,29.666596033333335
1000000,join_groupby,pandas,30,1047.7346912666667,118.10129108641544,1011.4165009999999,961.868708,1568.933846,941.1897911333333,0.0,106.54490013333333
1000000,join_groupby,snowflake,30,217.0504553,90.80274937084715,199.83954749999998,185.988956,695.49845,,0.0,217.0504553
10000000,clean_derive,duckdb,30,2135.8244658333333,117.72305028276716,2087.2138555,1986.279164,2504.133465,1986.9192814666667,13.305482233333333,135.59970213333332
10000000,clean_derive,pandas,30,2073.5974338666665,82.37701574573586,2047.0596245,1986.713928,2313.846753,1936.5999643,0.0,136.99746956666667
10000000,clean_derive,snowflake,30,1851.5174511,46.95820668258772,1854.1619085,1764.540086,1938.263731,,0.0,1851.5174511
10000000,filter_project,duckdb,30,1080.0941371,35.67577446338003,1082.037896,1015.631422,1168.542039,1038.1958666666667,13.515395366666667,28.382875066666667
10000000,filter_project,pandas,30,1105.7631987,77.20782162792537,1087.5192539999998,1027.893161,1468.80829,1049.5638690333333,0.0,56.199329666666664
10000000,filter_project,snowflake,30,1027.4341749,89.77627738295804,1006.627559,971.487666,1367.194973,,0.0,1027.4341749
10000000,groupby,duckdb,30,1561.1975068333334,79.92571907789342,1550.5859355,1484.658601,1947.414175,1505.3811496666667,13.130881500000001,42.68547566666667
10000000,groupby,pandas,30,1666.999997,102.83727606675625,1631.4245569999998,1552.406012,1928.999018,1517.8065300666667,0.0,149.19346693333333
10000000,groupby,snowflake,30,141.80339153333333,10.557633064750842,137.54560149999998,126.303489,178.117356,,0.0,141.80339153333333
10000000,join_groupby,duckdb,30,2299.7084956666667,116.6561558837638,2286.303465,2151.674394,2752.803267,2155.2308279,14.480582333333333,129.99708543333332
10000000,join_groupby,pandas,30,2905.8279815333335,113.86925195986471,2872.5399015000003,2739.613877,3250.593011,2120.6230852,0.0,785.2048963333333
10000000,join_groupby,snowflake,30,215.49189513333334,13.243044878658937,212.957425,192.345402,247.106181,,0.0,215.49189513333334
