rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated,execute_roundtrip_ms,fetch_dataframe_ms,query_id,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned
100000,warehouse,groupby,snowflake,1,2,115.532542,2.487,50,True,114.848375,0.684167,01c6f1a1-0001-fe0c-0001-9ade000af03e,48.0,29.0,19.0,0.0,0.0,973312.0
100000,parquet,join_groupby,pandas,1,1,7.95675,8.778,200,True,,,,,,,,,
100000,parquet,join_groupby,pandas,1,2,8.731833,9.571,200,True,,,,,,,,,
100000,parquet,join_groupby,duckdb,1,1,4.57025,6.712,200,True,,,,,,,,,
100000,parquet,join_groupby,duckdb,1,2,4.56675,4.707,200,True,,,,,,,,,
1000,warehouse,filter_project,snowflake,1,1,60.362958,2.035,189,True,59.801583,0.561375,01c6f1a1-0001-fe0c-0001-9ade000af042,40.0,30.0,10.0,0.0,0.0,10240.0
1000,warehouse,filter_project,snowflake,1,2,63.177958,2.001,189,True,62.585791,0.592167,01c6f1a1-0001-fe0c-0001-9ade000af046,39.0,30.0,9.0,0.0,0.0,10240.0
1000,parquet,filter_project,pandas,1,1,1.338875,1.538,189,True,,,,,,,,,
1000,parquet,filter_project,pandas,1,2,1.312792,1.489,189,True,,,,,,,,,
1000,parquet,filter_project,duckdb,1,1,0.7355,0.778,189,True,,,,,,,,,
1000,parquet,filter_project,duckdb,1,2,0.655541,0.697,189,True,,,,,,,,,
100000,memory,groupby,duckdb,1,1,1.247958,2.116,50,True,,,,,,,,,
100000,memory,groupby,duckdb,1,2,1.25725,1.5,50,True,,,,,,,,,
100000,memory,groupby,pandas,1,1,1.83075,1.84,50,True,,,,,,,,,
100000,memory,groupby,pandas,1,2,1.740458,1.746,50,True,,,,,,,,,
100000,parquet,groupby,pandas,1,1,3.059417,3.439,50,True,,,,,,,,,
100000,parquet,groupby,pandas,1,2,3.251416,3.592,50,True,,,,,,,,,
100000,parquet,groupby,duckdb,1,1,1.531,1.592,50,True,,,,,,,,,
100000,parquet,groupby,duckdb,1,2,1.503125,1.565,50,True,,,,,,,,,
10000,parquet,clean_derive,pandas,1,1,1.265709,1.559,10000,True,,,,,,,,,
10000,parquet,clean_derive,pandas,1,2,1.175875,1.424,10000,True,,,,,,,,,
10000,parquet,clean_derive,duckdb,1,1,0.849959,0.897,10000,True,,,,,,,,,
10000,parquet,clean_derive,duckdb,1,2,0.945709,0.98,10000,True,,,,,,,,,
10000,warehouse,filter_project,snowflake,1,1,94.023875,2.225,2004,True,93.3835,0.640375,01c6f1a1-0001-fe20-0001-9ade000b0016,64.0,48.0,16.0,0.0,0.0,95232.0
10000,warehouse,filter_project,snowflake,1,2,106.932709,2.372,2004,True,106.243875,0.688834,01c6f1a1-0001-fe20-0001-9ade000b001a,55.0,43.0,12.0,0.0,0.0,95232.0
10000,parquet,join_groupby,pandas,1,1,4.88575,5.265,200,True,,,,,,,,,
10000,parquet,join_groupby,pandas,1,2,4.720083,5.093,200,True,,,,,,,,,
10000,parquet,join_groupby,duckdb,1,1,3.472916,5.545,200,True,,,,,,,,,
10000,parquet,join_groupby,duckdb,1,2,3.630667,6.09,200,True,,,,,,,,,
1000,memory,clean_derive,duckdb,1,1,0.62975,0.679,1000,True,,,,,,,,,
1000,memory,clean_derive,duckdb,1,2,0.54475,0.58,1000,True,,,,,,,,,
1000,memory,clean_derive,pandas,1,1,0.391834,0.4,1000,True,,,,,,,,,
1000,memory,clean_derive,pandas,1,2,0.402667,0.411,1000,True,,,,,,,,,
1000,memory,join_groupby,duckdb,1,1,1.2615,1.672,200,True,,,,,,,,,
1000,memory,join_groupby,duckdb,1,2,1.15125,1.438,200,True,,,,,,,,,
1000,memory,join_groupby,pandas,1,1,3.24975,3.258,200,True,,,,,,,,,
1000,memory,join_groupby,pandas,1,2,2.935958,2.944,200,True,,,,,,,,,
1000,parquet,join_groupby,duckdb,1,1,2.528125,3.962,200,True,,,,,,,,,
1000,parquet,join_groupby,duckdb,1,2,2.498875,3.936,200,True,,,,,,,,,
1000,parquet,join_groupby,pandas,1,1,5.156041,5.493,200,True,,,,,,,,,
1000,parquet,join_groupby,pandas,1,2,4.869708,5.261,200,True,,,,,,,,,
100000,parquet,filter_project,pandas,1,1,2.938334,3.819,19886,True,,,,,,,,,
100000,parquet,filter_project,pandas,1,2,2.838917,3.709,19886,True,,,,,,,,,
100000,parquet,filter_project,duckdb,1,1,2.513,2.552,19886,True,,,,,,,,,
100000,parquet,filter_project,duckdb,1,2,2.441959,2.487,19886,True,,,,,,,,,
100000,warehouse,clean_derive,snowflake,1,1,424.21275,11.06,100000,True,359.698375,64.514375,01c6f1a2-0001-fcf9-0001-9ade000a915e,225.0,47.0,178.0,0.0,0.0,973312.0
100000,warehouse,clean_derive,snowflake,1,2,558.327958,12.398,100000,True,296.113541,262.214417,01c6f1a2-0001-fe20-0001-9ade000b0022,219.0,49.0,170.0,0.0,0.0,973312.0
1000,warehouse,join_groupby,snowflake,1,1,164.130542,2.108,200,True,163.593167,0.537375,01c6f1a2-0001-fe0c-0001-9ade000af052,120.0,95.0,25.0,0.0,0.0,248832.0
1000,warehouse,join_groupby,snowflake,1,2,107.687292,2.25,200,True,107.1295,0.557792,01c6f1a2-0001-fe0c-0001-9ade000af056,71.0,49.0,22.0,0.0,0.0,248832.0
10000,parquet,filter_project,duckdb,1,1,1.062917,1.096,2004,True,,,,,,,,,
10000,parquet,filter_project,duckdb,1,2,1.305208,1.193,2004,True,,,,,,,,,
10000,parquet,filter_project,pandas,1,1,1.586542,1.819,2004,True,,,,,,,,,
10000,parquet,filter_project,pandas,1,2,1.6755,1.854,2004,True,,,,,,,,,
100000,warehouse,join_groupby,snowflake,1,1,161.155791,3.151,200,True,160.118833,1.036958,01c6f1a2-0001-fe20-0001-9ade000b002a,117.0,82.0,35.0,0.0,0.0,1211904.0
100000,warehouse,join_groupby,snowflake,1,2,115.983916,2.091,200,True,115.35725,0.626666,01c6f1a2-0001-fcf8-0001-9ade000aa142,84.0,50.0,34.0,0.0,0.0,1211904.0
10000,memory,join_groupby,pandas,1,1,3.006166,3.014,200,True,,,,,,,,,
10000,memory,join_groupby,pandas,1,2,2.86775,2.874,200,True,,,,,,,,,
10000,memory,join_groupby,duckdb,1,1,1.96275,3.108,200,True,,,,,,,,,
10000,memory,join_groupby,duckdb,1,2,1.872416,2.233,200,True,,,,,,,,,
10000,memory,clean_derive,pandas,1,1,0.330708,0.34,10000,True,,,,,,,,,
10000,memory,clean_derive,pandas,1,2,0.255541,0.261,10000,True,,,,,,,,,
10000,memory,clean_derive,duckdb,1,1,0.647167,0.684,10000,True,,,,,,,,,
10000,memory,clean_derive,duckdb,1,2,0.527708,0.554,10000,True,,,,,,,,,
1000,warehouse,groupby,snowflake,1,1,161.299458,2.132,50,True,160.734417,0.565041,01c6f1a2-0001-fe20-0001-9ade000b002e,116.0,96.0,20.0,0.0,0.0,10240.0
1000,warehouse,groupby,snowflake,1,2,121.840708,6.693,50,True,121.281875,0.558833,01c6f1a2-0001-fe20-0001-9ade000b0032,63.0,44.0,19.0,0.0,0.0,10240.0
10000,memory,filter_project,duckdb,1,1,0.518833,0.556,2004,True,,,,,,,,,
10000,memory,filter_project,duckdb,1,2,0.401792,0.43,2004,True,,,,,,,,,
10000,memory,filter_project,pandas,1,1,0.365375,0.377,2004,True,,,,,,,,,
10000,memory,filter_project,pandas,1,2,0.298583,0.305,2004,True,,,,,,,,,
10000,memory,groupby,pandas,1,1,1.341416,1.35,50,True,,,,,,,,,
10000,memory,groupby,pandas,1,2,1.197333,1.207,50,True,,,,,,,,,
10000,memory,groupby,duckdb,1,1,0.692708,1.037,50,True,,,,,,,,,
10000,memory,groupby,duckdb,1,2,0.553416,0.767,50,True,,,,,,,,,
