rows,mode,workload,pandas_mean_ms,duckdb_mean_ms,pandas_over_duckdb,ratio_ci95_low,ratio_ci95_high,observed_faster,paired_blocks
1000,memory,clean_derive,0.3972505,0.58725,0.6764589186888037,,,pandas,1
1000,memory,filter_project,0.3469795,0.4991665,0.6951177613081005,,,pandas,1
1000,memory,groupby,1.1476045,0.8802915,1.3036641839663339,,,duckdb,1
1000,memory,join_groupby,3.092854,1.206375,2.5637583670086004,,,duckdb,1
1000,parquet,clean_derive,1.152771,0.7551665,1.5265123651539099,,,duckdb,1
1000,parquet,filter_project,1.3258334999999999,0.6955205,1.9062464729652109,,,duckdb,1
1000,parquet,groupby,1.909,0.9264165,2.060628237946971,,,duckdb,1
1000,parquet,join_groupby,5.012874500000001,2.5135,1.9943801472050926,,,duckdb,1
10000,memory,clean_derive,0.2931245,0.5874375000000001,0.498988403021598,,,pandas,1
10000,memory,filter_project,0.331979,0.4603125,0.7212035302104549,,,pandas,1
10000,memory,groupby,1.2693745,0.623062,2.037316511037425,,,duckdb,1
10000,memory,join_groupby,2.9369579999999997,1.917583,1.5315936780832953,,,duckdb,1
10000,parquet,clean_derive,1.2207919999999999,0.897834,1.3597079192812924,,,duckdb,1
10000,parquet,filter_project,1.631021,1.1840625,1.3774788070731063,,,duckdb,1
10000,parquet,groupby,2.1892500000000004,0.848729,2.5794452646251047,,,duckdb,1
10000,parquet,join_groupby,4.8029165,3.5517915,1.3522518143308806,,,duckdb,1
100000,memory,clean_derive,0.5439579999999999,1.594604,0.3411241913352782,,,pandas,1
100000,memory,filter_project,0.464146,0.7777080000000001,0.5968126854809259,,,pandas,1
100000,memory,groupby,1.7856040000000002,1.2526039999999998,1.425513570130704,,,duckdb,1
100000,memory,join_groupby,5.3626465,3.579625,1.4981028739043896,,,duckdb,1
100000,parquet,clean_derive,2.1833545,2.763021,0.7902055395163482,,,pandas,1
100000,parquet,filter_project,2.8886255,2.4774795000000003,1.1659533408853633,,,duckdb,1
100000,parquet,groupby,3.1554165,1.5170625,2.0799515511061673,,,duckdb,1
100000,parquet,join_groupby,8.3442915,4.5685,1.826483856845792,,,duckdb,1
