rows,mode,workload,engine,n,blocks,mean_ms,std_ms,min_ms,max_ms,median_ms,q1_ms,q3_ms,iqr_ms,p90_ms,p95_ms,p99_ms,mad_ms,cv_pct,mean_ci95_low_ms,mean_ci95_high_ms,input_million_rows_per_s,mean_cpu_ms,output_rows,tukey_outlier_count,import_rss_bytes,setup_rss_bytes,process_peak_rss_bytes,output_bytes
100000,memory,clean_derive,duckdb,30,6,2.062540266666667,0.19528278285408776,1.707583,2.691209,2.0134790000000002,1.95014625,2.1494584999999997,0.19931224999999975,2.2854041,2.3399622,2.5955571400000004,0.1055625,9.468071291024545,1.9145603818372625,2.210520151496071,48.483901922367316,2.5679000000000003,100000,1,120733696,142917632,144867328,1600132
100000,memory,clean_derive,pandas,30,6,0.9004750333333335,0.22722995897904735,0.674667,1.451292,0.8289375,0.7206462499999999,0.98677025,0.266124,1.3165497000000002,1.3675418499999998,1.4357045000000002,0.12245800000000001,25.23445410117578,0.6758087396263154,1.1251413270403514,111.05249595852202,0.9066333333333334,100000,2,120815616,137412608,141164544,1600132
100000,memory,filter_project,duckdb,30,6,1.0762388666666667,0.14858986528481988,0.688292,1.3695,1.0960625,0.98289525,1.15575025,0.1728550000000001,1.2254167,1.26743575,1.34337593,0.07479200000000008,13.806402081076413,1.0065081213888738,1.1459696119444596,92.91617604344711,1.2284,19886,1,120684544,143278080,145227776,477396
100000,memory,filter_project,pandas,30,6,0.6950111666666666,0.10023435973346745,0.544709,0.944917,0.6815625,0.617823,0.76289575,0.14507274999999997,0.8242041,0.8356015999999999,0.9149501400000001,0.07299999999999995,14.421978313557185,0.6392992793660172,0.7507230539673161,143.88258030386564,0.7026333333333334,19886,0,120995840,138117120,139362304,477396
100000,memory,groupby,duckdb,30,6,1.5850082333333337,0.1787241057360494,1.252583,2.000958,1.5530415,1.4633855,1.71725,0.25386449999999994,1.805441,1.8447415499999997,1.96465986,0.12887499999999996,11.27591024307714,1.4375357819145738,1.7324806847520937,63.09115492081459,1.9645333333333332,50,0,120733696,139722752,143785984,1732
100000,memory,groupby,pandas,30,6,2.506520733333333,0.22588859679343207,2.038333,3.155541,2.532937,2.34715625,2.64264575,0.29548949999999996,2.7047922,2.7835641,3.0584394300000004,0.1419999999999999,9.012037833536324,2.3565561223726252,2.6564853442940404,39.895939686488674,2.5113333333333334,50,1,121503744,135970816,139608064,1732
100000,memory,join_groupby,duckdb,30,6,4.066285966666666,0.36002490918656166,3.535167,5.297959,3.9765829999999998,3.86277125,4.160937499999999,0.2981662499999991,4.382904700000001,4.736972249999999,5.17962653,0.1406670000000001,8.853900393082577,3.7235512011896406,4.409020732143692,24.59246615209773,4.584266666666665,200,2,120815616,142540800,151437312,6532
100000,memory,join_groupby,pandas,30,6,5.249633433333335,0.46760988584234964,4.683792,6.570542,5.123479,4.85511525,5.60503175,0.7499165000000003,5.8805419,5.9586958999999995,6.40764668,0.3175414999999995,8.907476908257832,4.918004303176394,5.5812625634902755,19.048949087575338,5.2504,200,0,120864768,139247616,150306816,6532
100000,parquet,clean_derive,duckdb,30,6,3.069484733333333,0.16168970779625022,2.85575,3.513,3.034396,2.9475102499999997,3.14405175,0.19654150000000037,3.2590791000000006,3.37295405,3.47574718,0.09535399999999994,5.267649844951727,2.9638964876668648,3.175072978999801,32.57875789836692,3.1766333333333336,100000,1,121110528,123699200,131825664,1600132
100000,parquet,clean_derive,pandas,30,6,2.351387566666667,0.14060318268426097,2.174959,2.826958,2.3419790000000003,2.26209425,2.4047605,0.14266625,2.5180209000000002,2.55994215,2.75915861,0.07506250000000003,5.979583488381731,2.2735317531844097,2.429243380148924,42.52808061827096,3.3330333333333333,100000,1,120913920,120913920,140771328,1600132
100000,parquet,filter_project,duckdb,30,6,2.338618,0.1755701062334576,1.84,2.715458,2.329292,2.25608325,2.40673925,0.15065600000000012,2.5120994000000003,2.6780913,2.70464332,0.077604,7.507429868129707,2.2628682672841345,2.4143677327158652,42.76029689329339,2.486633333333333,19886,4,120750080,123682816,130236416,477396
100000,parquet,filter_project,pandas,30,6,2.8139943999999995,0.24634308574615596,2.367083,3.369667,2.8029375,2.6312189999999998,2.9677919999999998,0.336573,3.130942,3.1810102000000002,3.3209104600000003,0.17199999999999993,8.754213787566743,2.653670318649985,2.974318481350014,35.536673420529915,3.585366666666667,19886,0,120832000,120832000,138477568,477396
100000,parquet,groupby,duckdb,30,6,1.8732084,0.13471759242581088,1.646583,2.173834,1.8654165,1.7842090000000002,1.96136525,0.1771562499999999,2.0374705,2.083483,2.14998121,0.09460499999999994,7.19181018117423,1.766405859565974,1.980010940434026,53.38434314089132,1.9971999999999999,50,0,120995840,123699200,129204224,1732
