rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated
1000000,parquet,clean_derive,duckdb,1,1,8.57025,24.328,1000000,True
1000000,parquet,clean_derive,duckdb,1,2,9.062917,26.135,1000000,True
1000000,parquet,clean_derive,duckdb,1,3,8.633292,25.197,1000000,True
1000000,parquet,clean_derive,duckdb,1,4,9.627292,26.474,1000000,True
1000000,parquet,clean_derive,duckdb,1,5,8.445292,24.541,1000000,True
1000000,parquet,clean_derive,pandas,1,1,11.69775,27.444,1000000,True
1000000,parquet,clean_derive,pandas,1,2,9.269875,20.379,1000000,True
1000000,parquet,clean_derive,pandas,1,3,9.382792,20.288,1000000,True
1000000,parquet,clean_derive,pandas,1,4,9.650459,20.476,1000000,True
1000000,parquet,clean_derive,pandas,1,5,9.27475,20.145,1000000,True
100000,memory,filter_project,duckdb,1,1,1.0825,1.113,19886,True
100000,memory,filter_project,duckdb,1,2,0.960625,1.009,19886,True
100000,memory,filter_project,duckdb,1,3,1.145083,1.203,19886,True
100000,memory,filter_project,duckdb,1,4,1.3695,1.735,19886,True
100000,memory,filter_project,duckdb,1,5,1.183542,1.574,19886,True
100000,memory,filter_project,pandas,1,1,0.82375,0.832,19886,True
100000,memory,filter_project,pandas,1,2,0.841583,0.845,19886,True
100000,memory,filter_project,pandas,1,3,0.694833,0.704,19886,True
100000,memory,filter_project,pandas,1,4,0.569584,0.578,19886,True
100000,memory,filter_project,pandas,1,5,0.722209,0.731,19886,True
10000000,parquet,filter_project,pandas,1,1,59.430041,217.287,1980090,True
10000000,parquet,filter_project,pandas,1,2,57.199625,210.112,1980090,True
10000000,parquet,filter_project,pandas,1,3,57.84275,209.889,1980090,True
10000000,parquet,filter_project,pandas,1,4,57.663084,210.911,1980090,True
10000000,parquet,filter_project,pandas,1,5,57.345917,210.571,1980090,True
10000000,parquet,filter_project,duckdb,1,1,47.145959,170.137,1980090,True
10000000,parquet,filter_project,duckdb,1,2,47.461833,173.412,1980090,True
10000000,parquet,filter_project,duckdb,1,3,47.203334,171.753,1980090,True
10000000,parquet,filter_project,duckdb,1,4,47.360042,173.728,1980090,True
10000000,parquet,filter_project,duckdb,1,5,49.418166,179.511,1980090,True
100000,memory,clean_derive,duckdb,1,1,2.268791,3.539,100000,True
100000,memory,clean_derive,duckdb,1,2,2.05425,3.097,100000,True
100000,memory,clean_derive,duckdb,1,3,2.014583,3.063,100000,True
100000,memory,clean_derive,duckdb,1,4,2.272625,2.324,100000,True
100000,memory,clean_derive,duckdb,1,5,2.28225,2.333,100000,True
100000,memory,clean_derive,pandas,1,1,0.806292,0.818,100000,True
100000,memory,clean_derive,pandas,1,2,0.870417,0.879,100000,True
100000,memory,clean_derive,pandas,1,3,0.788625,0.777,100000,True
100000,memory,clean_derive,pandas,1,4,0.675417,0.682,100000,True
100000,memory,clean_derive,pandas,1,5,0.904292,0.912,100000,True
100000,parquet,groupby,duckdb,1,1,2.173834,2.238,50,True
100000,parquet,groupby,duckdb,1,2,1.910125,2.014,50,True
100000,parquet,groupby,duckdb,1,3,1.863542,1.989,50,True
100000,parquet,groupby,duckdb,1,4,2.026584,2.108,50,True
100000,parquet,groupby,duckdb,1,5,1.794917,1.854,50,True
100000,parquet,groupby,pandas,1,1,4.403917,4.976,50,True
100000,parquet,groupby,pandas,1,2,4.07575,4.481,50,True
100000,parquet,groupby,pandas,1,3,3.637083,4.018,50,True
100000,parquet,groupby,pandas,1,4,3.6105,4.003,50,True
100000,parquet,groupby,pandas,1,5,3.64925,3.989,50,True
1000000,memory,join_groupby,pandas,1,1,29.966,29.953,200,True
1000000,memory,join_groupby,pandas,1,2,29.164958,29.107,200,True
1000000,memory,join_groupby,pandas,1,3,29.823125,29.771,200,True
1000000,memory,join_groupby,pandas,1,4,27.869375,27.86,200,True
1000000,memory,join_groupby,pandas,1,5,28.119375,28.104,200,True
1000000,memory,join_groupby,duckdb,1,1,6.944167,18.081,200,True
1000000,memory,join_groupby,duckdb,1,2,7.603041,18.647,200,True
1000000,memory,join_groupby,duckdb,1,3,7.951375,19.511,200,True
1000000,memory,join_groupby,duckdb,1,4,7.369667,19.332,200,True
1000000,memory,join_groupby,duckdb,1,5,7.143667,18.833,200,True
100000,parquet,join_groupby,duckdb,1,1,5.119459,5.728,200,True
100000,parquet,join_groupby,duckdb,1,2,4.798708,5.35,200,True
100000,parquet,join_groupby,duckdb,1,3,4.726083,4.909,200,True
100000,parquet,join_groupby,duckdb,1,4,4.64525,6.555,200,True
100000,parquet,join_groupby,duckdb,1,5,4.765792,4.881,200,True
100000,parquet,join_groupby,pandas,1,1,7.597958,8.442,200,True
100000,parquet,join_groupby,pandas,1,2,7.917791,8.745,200,True
100000,parquet,join_groupby,pandas,1,3,7.996167,8.864,200,True
100000,parquet,join_groupby,pandas,1,4,7.692875,8.543,200,True
100000,parquet,join_groupby,pandas,1,5,7.20025,7.99,200,True
1000000,parquet,filter_project,pandas,1,1,8.663292,24.915,198279,True
1000000,parquet,filter_project,pandas,1,2,8.307084,23.546,198279,True
1000000,parquet,filter_project,pandas,1,3,7.529667,21.908,198279,True
1000000,parquet,filter_project,pandas,1,4,7.731625,22.892,198279,True
